genre,meta_mixed,meta_negative,meta_positive,metascore,movie_title,release_date,user_mixed,user_negative,user_positive,userscore
"Fantasy,Comedy,Family,Musical",0,0,13,88,Mary Poppins,27-Aug-64,3,2,41,8.2
"Drama,Comedy,War",1,0,7,80,MASH,25-Jan-70,6,4,36,7.4
"Drama,Crime",17,2,16,59,White Boy Rick,14-Sep-18,22,1,23,6.5
"Drama,Romance",11,1,15,57,Last Chance Harvey,25-Dec-08,8,10,28,6.3
"Adventure,Drama,Comedy",19,3,8,51,A Walk in the Woods,2-Sep-15,18,8,20,5.7
"Drama,Comedy",2,0,32,80,Lucky,29-Sep-17,10,1,34,7.4
Drama,7,1,22,65,The Good Lie,3-Oct-14,3,6,35,7.1
"Drama,Thriller,Crime",9,6,9,52,Deadfall,7-Dec-12,22,6,16,5.8
"Action,Adventure,Drama,Fantasy",7,2,4,47,"Crouching Tiger, Hidden Dragon: Sword of Destiny",26-Feb-16,20,10,14,5.3
"Biography,Drama",8,1,26,67,Rosewater,14-Nov-14,12,3,28,7.3
"Drama,Sport,Family",15,0,13,59,Dreamer: Inspired by a True Story,21-Oct-05,8,10,25,6.5
"Adventure,Mystery,Fantasy,Comedy,Romance,Animation,Family",8,5,1,36,Sherlock Gnomes,23-Mar-18,11,20,12,4.2
"Comedy,Romance",9,0,20,69,The Little Hours,30-Jun-17,17,3,22,6.3
"Drama,Thriller",4,0,21,69,Joshua,6-Jul-07,9,11,22,6.3
"Drama,Comedy",9,0,26,68,Brigsby Bear,28-Jul-17,6,3,33,7.4
Drama,1,1,30,83,Private Life,5-Oct-18,4,2,35,7.7
"Drama,Family",4,1,27,74,What Maisie Knew,3-May-13,4,1,36,8
Comedy,16,6,8,43,Night School,28-Sep-18,18,11,12,4.9
"Music,Documentary",0,0,14,92,One More Time with Feeling,8-Sep-16,4,2,34,8.6
"Drama,Romance,Music",10,4,3,45,Step Up: All In,8-Aug-14,13,13,14,5.1
"Drama,Comedy,War",1,0,28,84,No Man's Land,7-Dec-01,4,4,31,7.8
Drama,1,0,22,84,"Oslo, August 31st",25-May-12,1,4,33,7.8
"Adventure,Drama,History,Comedy,Western",0,0,17,84,Aferim!,22-Jan-16,2,5,31,7.8
"Drama,Comedy",2,0,29,82,Monsieur Lazhar,13-Apr-12,5,2,31,7.6
"Drama,Romance",9,8,4,38,Tulip Fever,1-Sep-17,15,13,10,4.4
Drama,1,1,32,86,The Death of Mr. Lazarescu,26-Apr-06,4,4,29,8
Thriller,16,1,13,57,Our Kind of Traitor,1-Jul-16,17,2,18,6.3
"Action,Biography,Drama,Sport",15,4,12,54,Hands of Stone,26-Aug-16,11,8,18,6
